date,series_id,series_name,value
2024-01-01,CES0000000001,Total Nonfarm Employment,157032.0
2024-02-01,CES0000000001,Total Nonfarm Employment,157238.0
2024-03-01,CES0000000001,Total Nonfarm Employment,157466.0
2024-04-01,CES0000000001,Total Nonfarm Employment,157530.0
2024-05-01,CES0000000001,Total Nonfarm Employment,157608.0
2024-06-01,CES0000000001,Total Nonfarm Employment,157695.0
2024-07-01,CES0000000001,Total Nonfarm Employment,157748.0
2024-08-01,CES0000000001,Total Nonfarm Employment,157757.0
2024-09-01,CES0000000001,Total Nonfarm Employment,157912.0
2024-10-01,CES0000000001,Total Nonfarm Employment,157945.0
2024-11-01,CES0000000001,Total Nonfarm Employment,158079.0
2024-12-01,CES0000000001,Total Nonfarm Employment,158316.0
2025-01-01,CES0000000001,Total Nonfarm Employment,158268.0
2025-02-01,CES0000000001,Total Nonfarm Employment,158310.0
2025-03-01,CES0000000001,Total Nonfarm Employment,158377.0
2025-04-01,CES0000000001,Total Nonfarm Employment,158485.0
2025-05-01,CES0000000001,Total Nonfarm Employment,158498.0
2025-06-01,CES0000000001,Total Nonfarm Employment,158478.0
2025-07-01,CES0000000001,Total Nonfarm Employment,158542.0
2025-08-01,CES0000000001,Total Nonfarm Employment,158472.0
2025-09-01,CES0000000001,Total Nonfarm Employment,158548.0
2025-10-01,CES0000000001,Total Nonfarm Employment,158408.0
2025-11-01,CES0000000001,Total Nonfarm Employment,158449.0
2025-12-01,CES0000000001,Total Nonfarm Employment,158432.0
2026-01-01,CES0000000001,Total Nonfarm Employment,158592.0
2026-02-01,CES0000000001,Total Nonfarm Employment,158459.0
2026-03-01,CES0000000001,Total Nonfarm Employment,158637.0
2024-01-01,CES0500000002,Avg Weekly Hours,34.2
2024-02-01,CES0500000002,Avg Weekly Hours,34.4
2024-03-01,CES0500000002,Avg Weekly Hours,34.4
2024-04-01,CES0500000002,Avg Weekly Hours,34.2
2024-05-01,CES0500000002,Avg Weekly Hours,34.3
2024-06-01,CES0500000002,Avg Weekly Hours,34.3
2024-07-01,CES0500000002,Avg Weekly Hours,34.2
2024-08-01,CES0500000002,Avg Weekly Hours,34.3
2024-09-01,CES0500000002,Avg Weekly Hours,34.3
2024-10-01,CES0500000002,Avg Weekly Hours,34.2
2024-11-01,CES0500000002,Avg Weekly Hours,34.3
2024-12-01,CES0500000002,Avg Weekly Hours,34.3
2025-01-01,CES0500000002,Avg Weekly Hours,34.1
2025-02-01,CES0500000002,Avg Weekly Hours,34.2
2025-03-01,CES0500000002,Avg Weekly Hours,34.2
2025-04-01,CES0500000002,Avg Weekly Hours,34.3
2025-05-01,CES0500000002,Avg Weekly Hours,34.2
2025-06-01,CES0500000002,Avg Weekly Hours,34.2
2025-07-01,CES0500000002,Avg Weekly Hours,34.2
2025-08-01,CES0500000002,Avg Weekly Hours,34.2
2025-09-01,CES0500000002,Avg Weekly Hours,34.2
2025-10-01,CES0500000002,Avg Weekly Hours,34.2
2025-11-01,CES0500000002,Avg Weekly Hours,34.3
2025-12-01,CES0500000002,Avg Weekly Hours,34.2
2026-01-01,CES0500000002,Avg Weekly Hours,34.3
2026-02-01,CES0500000002,Avg Weekly Hours,34.3
2026-03-01,CES0500000002,Avg Weekly Hours,34.2
2024-01-01,CES0500000003,Avg Hourly Earnings,34.47
2024-02-01,CES0500000003,Avg Hourly Earnings,34.52
2024-03-01,CES0500000003,Avg Hourly Earnings,34.65
2024-04-01,CES0500000003,Avg Hourly Earnings,34.76
2024-05-01,CES0500000003,Avg Hourly Earnings,34.89
2024-06-01,CES0500000003,Avg Hourly Earnings,35.01
2024-07-01,CES0500000003,Avg Hourly Earnings,35.08
2024-08-01,CES0500000003,Avg Hourly Earnings,35.22
2024-09-01,CES0500000003,Avg Hourly Earnings,35.34
2024-10-01,CES0500000003,Avg Hourly Earnings,35.46
2024-11-01,CES0500000003,Avg Hourly Earnings,35.6
2024-12-01,CES0500000003,Avg Hourly Earnings,35.69
2025-01-01,CES0500000003,Avg Hourly Earnings,35.84
2025-02-01,CES0500000003,Avg Hourly Earnings,35.94
2025-03-01,CES0500000003,Avg Hourly Earnings,36.11
2025-04-01,CES0500000003,Avg Hourly Earnings,36.12
2025-05-01,CES0500000003,Avg Hourly Earnings,36.28
2025-06-01,CES0500000003,Avg Hourly Earnings,36.36
2025-07-01,CES0500000003,Avg Hourly Earnings,36.47
2025-08-01,CES0500000003,Avg Hourly Earnings,36.62
